dataSet,ladder,smileLaugh,enjoyment,worry,sadness,depression,anger,income,household,television,computer,internetAccess,food,shelter,livingStandard,ticket,lawsuit,respect,learn,opportunity,time,emergency,gender,age,maritalStatus,residentialArea,education
toronto,2,2,2,2,2,2,2,25000,3,1,1,1,2,2,2,100, ,1,2,2,2,1,1,24,3,3,4
toronto,4,2,2,2,1,2,2,0,4,1,1,1,2,2,2,100,100,2,1,2,2,1,1,20,3,4,2
toronto,4,2,2,1,2,2,1,0,4,1,1,1,2,2,1,15, ,2,1,2,2,1,1,20,3,3,3
toronto,2,2,2,1,1,1,1,50000,3,1,1,1,2,2,1,100,100,2,1,2,2,1,1,19,3,3,2
toronto,10,2,2,1,1,1,1,0,2,1,1,1,1,2,2,50,9,1,2,2,2,1,1,20,1,3,3
toronto,7,1,2,1,2,2,2,80000,2,2,1,1,2,2,2,100,100,1,1,2,2,1,2,22,3,3,3
toronto,5,1,1,1,2,2,2,0,3,1,1,1,2,2,2,90,50,1,1,2,2,1,1,19,3,3,2
toronto,10,1,1,1,2,2,2,0,3,1,1,1,2,2,2,100,32,2,1,1,2,1,1,19,3,3,3
toronto,4,2,2,1,2,1,2,100000,4,1,1,1,2,2,2,0, ,1,1,2,1,2,2,21,2,3,3
toronto,6,1,1,2,2,2,2,0,1,2,1,1,1,2,2,100,100,1,1,2,2,1,2,22,2,3,4
toronto,6,2,2,1,1,1,2,2100,2,1,1,1,1,2,1,63,65,1,2,1,1,2,1,25,2,3,3
toronto,1,1,1,2,1,2,1,0,4,1,1,1,1,1,1,80,40,1,1,1,2,2,2,20,3,3,3
toronto,5,2,1,2,2,2,2,100000,2,1,1,1,2,2,2,100,50,1,2,1,1,1,1,30,1,4,5
toronto,5,2,1,2,2,2,2,220000,3,1,1,1,2,2,2,95,40,2,1,1,1,1,2,22,3,3,4
toronto,6,1,1,2,2,2,2,0,3,1,1,1,2,2,1,89,59,1,1,2,1,1,1,18,3,3,2
toronto,8,1,1,2,2,2,2,150000,4,1,1,1,2,2,1,100,100,1,1,1,2,1,2,47,1,3,3
toronto,6,1,1,2,2,2,2,5000,3,1,1,1,2,2,2,75,35,1,1,2,1,1,2,21,3,3,3
toronto,8,1,1,2,2,2,2,150000,4,1,1,1,2,2,2,100,100,1,2,1,1,1,1,47,1,3,3
toronto,9,1,1,2,2,2,2,0,4,1,1,1,2,2,1,90,80,1,1,2,1,1,1,19,6,3,2
toronto,8,1,1,2,2,2,2,65000,2,1,1,1,2,2,1,100,100,1,2,1,1,1,2,32,1,4,5
toronto,8,1,1,2,2,2,2,5000,3,1,1,1,2,2,1,100,100,1,1,1,2,1,1,20,3,3,2
toronto,8,2,2,1,2,2,2,30000,4,1,1,1,2,2,2,95,95,1,2,1,1,1,2,21,3,4,2
toronto,6,1,1,1,2,2,2,60000,4,1,1,1,2,2,2,100,40,1,1,2,1,1,1,24,3,4,4
toronto,1, ,2,1,2,2,1,0,3,1,1,1,2,2,1,100,70,1,1,1,2,1,1,19,3,3,3
toronto,7,1,2,1,1,2,2,20000,3,1,1,1,2,2,1,85,30,1,1,2,1,1,1,20,3,3,3
toronto,6,2,2,1,1,1,2,0,3,1,1,1,2,2,1,88,24,1,1,2,1,1,1,20,3,3,2
toronto,7,2,2,1,1,1,2,0,3,1,1,1,2,2,2,100,50,2,1,1,1,1,1,20,3,3,3
toronto,4,2,2,1,1,1,1,6000,3,1,1,1,2,2,1,40,9,1,2,1,1,1,1,22,3,3,3
toronto,8,2,1,1,1,1,1,15000,3,1,1,1,2,2,1,75,45,1,1,1,2,1,4,20,3,4,3
toronto,7,1,2,1,1,1,2,22000,2,2,1,1,1,2,1,0,3,2,1,1,1,1,1,24,3,3,3
toronto,9,2,2,2,2,2,2,0,2,1,1,1,2,1,1,40,20,1,1,2,1,1,1,18,3,3,3
toronto,9,1,1,2,1,2,1,0,4,1,1,1,1,2,2,28, ,1,2,1,1,1,3,19,6,3,2
toronto,4,1,1,1,1,1,2,0,3,1,1,1,1,1,2,56,27,1,1,2,1,1,1,21,3,3,3
toronto,7,1,1,2,2,2,2,80000,2,2,1,1,2,2,1,90,70,1,1,1,1,1,1,29,1,3,5
toronto,5,2,2,1,2,1,2,300000,4,2,1,1,2,2,1,100,100,1,1,1,1,1,2,20,3,3,3
toronto,2,2,2,2,2,2,2,800,3,1,1,1,2,2,2, , ,1,1,1,1,1,1,22,3,3,5
toronto,1,2,2,2,2,2,2,0,3,1,1,1,2,2,1,100,100,1,1,1,1,1, ,19,3,3,2
toronto,4,1,1,2,2,2,2,0,6,1,1,1,2,2,1,61,0,1,1,1,1,1,1,21,3,3,2
toronto,1,1,1,2,2,2,2,60000,2,1,1,1,2,2,1,100,50,1,1,1,1,1,1,27,2,3,2
toronto,7,1,1,2,2,2,2,14400,2,1,1,1,2,2,1,100,80,1,1,1,1,1,1,20,3,3,3
