"dataSet","ladder","smileLaugh","enjoyment","worry","sadness","depression","anger","income","household","television","computer","internetAccess","food","shelter","livingStandard","ticket","lawsuit","respect","learn","opportunity","time","emergency","gender","age","maritalStatus","residentialArea","education","raw_income","PositiveFeelings","NegativeFeelings","logIncome","LuxuryConveniences","BasicNeeds","PsychNeeds","study_site"
"toronto",2,0,0,0,0,0,0,18250,"3",1,1,1,0,0,0,100,NA,1,0,0,0,1,"woman",24,"single","urban_city","full teritary",25000,0,0,9.81192035901064,1,0,0.4,"Study_Site_1"
"toronto",4,0,0,0,-1,0,0,0,"4",1,1,1,0,0,0,100,100,0,1,0,0,1,"woman",20,"single","suburban","secondary",0,0,-0.25,NA,1,0,0.4,"Study_Site_1"
"toronto",4,0,0,-1,0,0,-1,0,"4",1,1,1,0,0,1,15,NA,0,1,0,0,1,"woman",20,"single","urban_city","some teriary",0,0,-0.5,NA,1,0,0.4,"Study_Site_1"
"toronto",2,0,0,-1,-1,-1,-1,36500,"3",1,1,1,0,0,1,100,100,0,1,0,0,1,"woman",19,"single","urban_city","secondary",50000,0,-1,10.5050675395706,1,0,0.4,"Study_Site_1"
"toronto",10,0,0,-1,-1,-1,-1,0,"2",1,1,1,1,0,0,50,9,1,0,0,0,1,"woman",20,"married","urban_city","some teriary",0,0,-1,NA,1,0.5,0.4,"Study_Site_1"
"toronto",7,1,0,-1,0,0,0,58400,"2",0,1,1,0,0,0,100,100,1,1,0,0,1,"man",22,"single","urban_city","some teriary",80000,0.5,-0.25,10.9750711688163,0.666666666666667,0,0.6,"Study_Site_1"
"toronto",5,1,1,-1,0,0,0,0,"3",1,1,1,0,0,0,90,50,1,1,0,0,1,"woman",19,"single","urban_city","secondary",0,1,-0.25,NA,1,0,0.6,"Study_Site_1"
"toronto",10,1,1,-1,0,0,0,0,"3",1,1,1,0,0,0,100,32,0,1,1,0,1,"woman",19,"single","urban_city","some teriary",0,1,-0.25,NA,1,0,0.6,"Study_Site_1"
"toronto",4,0,0,-1,0,-1,0,73000,"4",1,1,1,0,0,0,0,NA,1,1,0,1,0,"man",21,"domestic partnership","urban_city","some teriary",1e+05,0,-0.5,11.1982147201305,1,0,0.6,"Study_Site_1"
"toronto",6,1,1,0,0,0,0,0,"1",0,1,1,1,0,0,100,100,1,1,0,0,1,"man",22,"domestic partnership","urban_city","full teritary",0,1,0,NA,0.666666666666667,0.5,0.6,"Study_Site_1"
"toronto",6,0,0,-1,-1,-1,0,1533,"2",1,1,1,1,0,1,63,65,1,0,1,1,0,"woman",25,"domestic partnership","urban_city","some teriary",2100,0,-0.75,7.33498187887181,1,0.5,0.6,"Study_Site_1"
"toronto",1,1,1,0,-1,0,-1,0,"4",1,1,1,1,1,1,80,40,1,1,1,0,0,"man",20,"single","urban_city","some teriary",0,1,-0.5,NA,1,1,0.6,"Study_Site_1"
"toronto",5,0,1,0,0,0,0,73000,"2",1,1,1,0,0,0,100,50,1,0,1,1,1,"woman",30,"married","suburban","graduate degree",1e+05,0.5,0,11.1982147201305,1,0,0.8,"Study_Site_1"
"toronto",5,0,1,0,0,0,0,160600,"3",1,1,1,0,0,0,95,40,0,1,1,1,1,"man",22,"single","urban_city","full teritary",220000,0.5,0,11.9866720804948,1,0,0.8,"Study_Site_1"
"toronto",6,1,1,0,0,0,0,0,"3",1,1,1,0,0,1,89,59,1,1,0,1,1,"woman",18,"single","urban_city","secondary",0,1,0,NA,1,0,0.8,"Study_Site_1"
"toronto",8,1,1,0,0,0,0,109500,"4",1,1,1,0,0,1,100,100,1,1,1,0,1,"man",47,"married","urban_city","some teriary",150000,1,0,11.6036798282387,1,0,0.8,"Study_Site_1"
"toronto",6,1,1,0,0,0,0,3650,"3",1,1,1,0,0,0,75,35,1,1,0,1,1,"man",21,"single","urban_city","some teriary",5000,1,0,8.20248244657654,1,0,0.8,"Study_Site_1"
"toronto",8,1,1,0,0,0,0,109500,"4",1,1,1,0,0,0,100,100,1,0,1,1,1,"woman",47,"married","urban_city","some teriary",150000,1,0,11.6036798282387,1,0,0.8,"Study_Site_1"
"toronto",9,1,1,0,0,0,0,0,"4",1,1,1,0,0,1,90,80,1,1,0,1,1,"woman",19,NA,"urban_city","secondary",0,1,0,NA,1,0,0.8,"Study_Site_1"
"toronto",8,1,1,0,0,0,0,47450,"2",1,1,1,0,0,1,100,100,1,0,1,1,1,"man",32,"married","suburban","graduate degree",65000,1,0,10.7674318040381,1,0,0.8,"Study_Site_1"
